      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE  VALIDATION_ERR_CVRMSD 
         5  5.000000000000000E+000 -5.649186102408111E-001  1.016948642467439E+000  1.550362603743993E-005  1.091789473140478E+022 -1.091710063139767E+022  9.099699978256506E+020 -4.308052041634114E+020  9.099700239492822E+020 -4.308052302870437E+020  3.989223162302474E+021  3.989223162302476E+021  4.730027745515904E-017  5.383751413935640E-018  1.596626714202160E-007
         6  6.000000000000000E+000 -5.649009934803293E-001  1.016916927045018E+000  1.550530574697171E-005  1.091755424248356E+022 -1.091676014247645E+022  9.099416334125394E+020 -4.307917684890208E+020  9.099416595342013E+020 -4.307917946106835E+020  3.989223162302474E+021  3.989223162302476E+021  4.574267537977809E-017  2.557281921619429E-017  1.916062618796977E-007
         6  6.000000000000000E+000 -5.649009934803293E-001  1.016916927045018E+000  1.550530574697171E-005  1.091755424248356E+022 -1.091676014247645E+022  9.099416334125394E+020 -4.307917684890208E+020  9.099416595342013E+020 -4.307917946106835E+020  3.989223162302474E+021  3.989223162302476E+021  4.574267537977809E-017  2.557281921619429E-017  1.916062618796977E-007
         7  7.000000000000000E+000 -5.648833772691979E-001  1.016885212732897E+000  1.550698546975492E-005  1.091721376418124E+022 -1.091641966417413E+022  9.099132698837068E+020 -4.307783332335337E+020  9.099132960033990E+020 -4.307783593532268E+020  3.989223162302474E+021  3.989223162302476E+021  4.831607525375732E-017  2.697052391019681E-017  2.235534883222734E-007
         7  7.000000000000000E+000 -5.648833772691979E-001  1.016885212732897E+000  1.550698546975492E-005  1.091721376418124E+022 -1.091641966417413E+022  9.099132698837068E+020 -4.307783332335337E+020  9.099132960033990E+020 -4.307783593532268E+020  3.989223162302474E+021  3.989223162302476E+021  4.831607525375732E-017  2.697052391019681E-017  2.235534883222734E-007
         8  8.000000000000000E+000 -5.648657616074068E-001  1.016853499529722E+000  1.550866520577745E-005  1.091687329649750E+022 -1.091607919649039E+022  9.098849072391253E+020 -4.307648983969371E+020  9.098849333568480E+020 -4.307649245146607E+020  3.989223162302474E+021  3.989223162302476E+021  3.631494595743783E-017  3.551205259576778E-017  2.555043289682823E-007
         8  8.000000000000000E+000 -5.648657616074068E-001  1.016853499529722E+000  1.550866520577745E-005  1.091687329649750E+022 -1.091607919649039E+022  9.098849072391253E+020 -4.307648983969371E+020  9.098849333568480E+020 -4.307649245146607E+020  3.989223162302474E+021  3.989223162302476E+021  3.631494595743783E-017  3.551205259576778E-017  2.555043289682823E-007
         9  9.000000000000000E+000 -5.648481464949409E-001  1.016821787434177E+000  1.551034495502802E-005  1.091653283943201E+022 -1.091573873942489E+022  9.098565454787670E+020 -4.307514639792180E+020  9.098565715945203E+020 -4.307514900949720E+020  3.989223162302474E+021  3.989223162302476E+021  5.942914458502339E-017  3.768625989754948E-017  2.874587626541277E-007
         9  9.000000000000000E+000 -5.648481464949409E-001  1.016821787434177E+000  1.551034495502802E-005  1.091653283943201E+022 -1.091573873942489E+022  9.098565454787670E+020 -4.307514639792180E+020  9.098565715945203E+020 -4.307514900949720E+020  3.989223162302474E+021  3.989223162302476E+021  5.942914458502339E-017  3.768625989754948E-017  2.874587626541277E-007
        10  1.000000000000000E+001 -5.648305319317836E-001  1.016790076444942E+000  1.551202471749636E-005  1.091619239298443E+022 -1.091539829297731E+022  9.098281846026049E+020 -4.307380299803633E+020  9.098282107163886E+020 -4.307380560941478E+020  3.989223162302474E+021  3.989223162302476E+021  4.338110654596345E-017  3.960163299673812E-017  3.194167678064692E-007
