      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE  VALIDATION_ERR_CVRMSD 
         0  0.000000000000000E+000 -5.650067022841824E-001  1.017107236282047E+000  1.549522768897386E-005  1.091959733530610E+022 -1.091880323529898E+022  9.101118331563500E+020 -4.308723888193755E+020  9.101118592898306E+020 -4.308724149528566E+020  3.989223162302474E+021  3.989223162302476E+021  4.834036240852604E-018  4.348414603563402E-017  1.605325145784089E-015
         1  1.000000000000000E+000 -5.649714638185789E-001  1.017043795410503E+000  1.549858698847787E-005  1.091891626188529E+022 -1.091812216187818E+022  9.100550963709382E+020 -4.308455137001389E+020  9.100551225004794E+020 -4.308455398296803E+020  3.989223162302474E+021  3.989223162302476E+021  1.138870491409462E-017  2.008553412122143E-017  6.385394520432838E-008
         1  1.000000000000000E+000 -5.649714638185789E-001  1.017043795410503E+000  1.549858698847787E-005  1.091891626188529E+022 -1.091812216187818E+022  9.100550963709382E+020 -4.308455137001389E+020  9.100551225004794E+020 -4.308455398296803E+020  3.989223162302474E+021  3.989223162302476E+021  1.138870491409462E-017  2.008553412122143E-017  6.385394520432838E-008
         2  2.000000000000000E+000 -5.649362275506776E-001  1.016980359002225E+000  1.550194634117832E-005  1.091823523094542E+022 -1.091744113093830E+022  9.099983631230821E+020 -4.308186402567255E+020  9.099983892486837E+020 -4.308186663823275E+020  3.989223162302474E+021  3.989223162302476E+021  3.593454065157718E-017  1.692775684958610E-017  1.277227726699281E-007
         2  2.000000000000000E+000 -5.649362275506776E-001  1.016980359002225E+000  1.550194634117832E-005  1.091823523094542E+022 -1.091744113093830E+022  9.099983631230821E+020 -4.308186402567255E+020  9.099983892486837E+020 -4.308186663823275E+020  3.989223162302474E+021  3.989223162302476E+021  3.593454065157718E-017  1.692775684958610E-017  1.277227726699281E-007
         3  3.000000000000000E+000 -5.649009934803401E-001  1.016916927046069E+000  1.550530574698048E-005  1.091755424248382E+022 -1.091676014247671E+022  9.099416334125608E+020 -4.307917684890310E+020  9.099416595342228E+020 -4.307917946106937E+020  3.989223162302474E+021  3.989223162302476E+021  4.034360961649834E-017  2.707405759123404E-017  1.916063136411986E-007
         3  3.000000000000000E+000 -5.649009934803401E-001  1.016916927046069E+000  1.550530574698048E-005  1.091755424248382E+022 -1.091676014247671E+022  9.099416334125608E+020 -4.307917684890310E+020  9.099416595342228E+020 -4.307917946106937E+020  3.989223162302474E+021  3.989223162302476E+021  4.034360961649834E-017  2.707405759123404E-017  1.916063136411986E-007
         4  4.000000000000000E+000 -5.648657616074291E-001  1.016853499531094E+000  1.550866520579116E-005  1.091687329649785E+022 -1.091607919649073E+022  9.098849072391537E+020 -4.307648983969508E+020  9.098849333568767E+020 -4.307649245146742E+020  3.989223162302474E+021  3.989223162302476E+021  3.997204672959134E-017  2.681522338864098E-017  2.555043974867101E-007
         4  4.000000000000000E+000 -5.648657616074291E-001  1.016853499531094E+000  1.550866520579116E-005  1.091687329649785E+022 -1.091607919649073E+022  9.098849072391537E+020 -4.307648983969508E+020  9.098849333568767E+020 -4.307649245146742E+020  3.989223162302474E+021  3.989223162302476E+021  3.997204672959134E-017  2.681522338864098E-017  2.555043974867101E-007
         5  5.000000000000000E+000 -5.648305319318035E-001  1.016790076446620E+000  1.551202471751612E-005  1.091619239298486E+022 -1.091539829297774E+022  9.098281846026406E+020 -4.307380299803806E+020  9.098282107164244E+020 -4.307380560941647E+020  3.989223162302474E+021  3.989223162302476E+021  5.617024238809795E-017  3.106010431116716E-017  3.194168527285393E-007
         5  5.000000000000000E+000 -5.648305319318035E-001  1.016790076446620E+000  1.551202471751612E-005  1.091619239298486E+022 -1.091539829297774E+022  9.098281846026406E+020 -4.307380299803806E+020  9.098282107164244E+020 -4.307380560941647E+020  3.989223162302474E+021  3.989223162302476E+021  5.617024238809795E-017  3.106010431116716E-017  3.194168527285393E-007
         6  6.000000000000000E+000 -5.647953044533324E-001  1.016726657782196E+000  1.551538428205981E-005  1.091551153194220E+022 -1.091471743193508E+022  9.097714655028009E+020 -4.307111632392156E+020  9.097714916126457E+020 -4.307111893490607E+020  3.989223162302474E+021  3.989223162302476E+021  5.702817103244923E-017  1.697952369010471E-017  3.833435074773856E-007
         6  6.000000000000000E+000 -5.647953044533324E-001  1.016726657782196E+000  1.551538428205981E-005  1.091551153194220E+022 -1.091471743193508E+022  9.097714655028009E+020 -4.307111632392156E+020  9.097714916126457E+020 -4.307111893490607E+020  3.989223162302474E+021  3.989223162302476E+021  5.702817103244923E-017  1.697952369010471E-017  3.833435074773856E-007
         7  7.000000000000000E+000 -5.647600791718768E-001  1.016663243527589E+000  1.551874389932791E-005  1.091483071336721E+022 -1.091403661336010E+022  9.097147499394138E+020 -4.306842981733517E+020  9.097147760453196E+020 -4.306843242792579E+020  3.989223162302474E+021  3.989223162302476E+021  5.875607093241389E-017  8.800362888164027E-018  4.472841889046886E-007
         7  7.000000000000000E+000 -5.647600791718768E-001  1.016663243527589E+000  1.551874389932791E-005  1.091483071336721E+022 -1.091403661336010E+022  9.097147499394138E+020 -4.306842981733517E+020  9.097147760453196E+020 -4.306843242792579E+020  3.989223162302474E+021  3.989223162302476E+021  5.875607093241389E-017  8.800362888164027E-018  4.472841889046886E-007
         8  8.000000000000000E+000 -5.647248560872978E-001  1.016599833672793E+000  1.552210356922814E-005  1.091414993725726E+022 -1.091335583725015E+022  9.096580379122593E+020 -4.306574347826843E+020  9.096580640142261E+020 -4.306574608846518E+020  3.989223162302474E+021  3.989223162302476E+021  5.168643593968079E-017  1.444294850469273E-017  5.112387240371739E-007
         8  8.000000000000000E+000 -5.647248560872978E-001  1.016599833672793E+000  1.552210356922814E-005  1.091414993725726E+022 -1.091335583725015E+022  9.096580379122593E+020 -4.306574347826843E+020  9.096580640142261E+020 -4.306574608846518E+020  3.989223162302474E+021  3.989223162302476E+021  5.168643593968079E-017  1.444294850469273E-017  5.112387240371739E-007
         9  9.000000000000000E+000 -5.646896351994666E-001  1.016536428208032E+000  1.552546329166681E-005  1.091346920360970E+022 -1.091267510360259E+022  9.096013294211164E+020 -4.306305730671091E+020  9.096013555191448E+020 -4.306305991651377E+020  3.989223162302474E+021  3.989223162302476E+021  5.301935443804873E-017  1.641008844439998E-017  5.752069398240286E-007
         9  9.000000000000000E+000 -5.646896351994666E-001  1.016536428208032E+000  1.552546329166681E-005  1.091346920360970E+022 -1.091267510360259E+022  9.096013294211164E+020 -4.306305730671091E+020  9.096013555191448E+020 -4.306305991651377E+020  3.989223162302474E+021  3.989223162302476E+021  5.301935443804873E-017  1.641008844439998E-017  5.752069398240286E-007
        10  1.000000000000000E+001 -5.646544165082390E-001  1.016473027123705E+000  1.552882306654828E-005  1.091278851242187E+022 -1.091199441241475E+022  9.095446244657651E+020 -4.306037130265215E+020  9.095446505598546E+020 -4.306037391206114E+020  3.989223162302474E+021  3.989223162302476E+021  7.747087127228778E-017  1.035336810372238E-018  6.391886624836670E-007
        10  1.000000000000000E+001 -5.646544165082390E-001  1.016473027123705E+000  1.552882306654828E-005  1.091278851242187E+022 -1.091199441241475E+022  9.095446244657651E+020 -4.306037130265215E+020  9.095446505598546E+020 -4.306037391206114E+020  3.989223162302474E+021  3.989223162302476E+021  7.747087127228778E-017  1.035336810372238E-018  6.391886624836670E-007
        11  1.100000000000000E+001 -5.646192000134728E-001  1.016409630410470E+000  1.553218289377676E-005  1.091210786369112E+022 -1.091131376368401E+022  9.094879230459846E+020 -4.305768546608171E+020  9.094879491361356E+020 -4.305768807509684E+020  3.989223162302474E+021  3.989223162302476E+021  6.382421080710659E-017  1.004276706061071E-017  7.031837196069024E-007
        11  1.100000000000000E+001 -5.646192000134728E-001  1.016409630410470E+000  1.553218289377676E-005  1.091210786369112E+022 -1.091131376368401E+022  9.094879230459846E+020 -4.305768546608171E+020  9.094879491361356E+020 -4.305768807509684E+020  3.989223162302474E+021  3.989223162302476E+021  6.382421080710659E-017  1.004276706061071E-017  7.031837196069024E-007
        12  1.200000000000000E+001 -5.645839857150384E-001  1.016346238059136E+000  1.553554277325764E-005  1.091142725741481E+022 -1.091063315740770E+022  9.094312251615547E+020 -4.305499979698916E+020  9.094312512477672E+020 -4.305500240561044E+020  3.989223162302474E+021  3.989223162302476E+021  5.774915318607425E-017  1.646185528491859E-017  7.671919376587654E-007
        12  1.200000000000000E+001 -5.645839857150384E-001  1.016346238059136E+000  1.553554277325764E-005  1.091142725741481E+022 -1.091063315740770E+022  9.094312251615547E+020 -4.305499979698916E+020  9.094312512477672E+020 -4.305500240561044E+020  3.989223162302474E+021  3.989223162302476E+021  5.774915318607425E-017  1.646185528491859E-017  7.671919376587654E-007
        13  1.300000000000000E+001 -5.645487736127989E-001  1.016282850060748E+000  1.553890270489900E-005  1.091074669359030E+022 -1.090995259358319E+022  9.093745308122549E+020 -4.305231429536403E+020  9.093745568945289E+020 -4.305231690359148E+020  3.989223162302474E+021  3.989223162302476E+021  6.709621597571393E-017  3.080127010857410E-017  8.312131447636256E-007
        13  1.300000000000000E+001 -5.645487736127989E-001  1.016282850060748E+000  1.553890270489900E-005  1.091074669359030E+022 -1.090995259358319E+022  9.093745308122549E+020 -4.305231429536403E+020  9.093745568945289E+020 -4.305231690359148E+020  3.989223162302474E+021  3.989223162302476E+021  6.709621597571393E-017  3.080127010857410E-017  8.312131447636256E-007
        14  1.400000000000000E+001 -5.645135637066158E-001  1.016219466406525E+000  1.554226268860685E-005  1.091006617221493E+022 -1.090927207220781E+022  9.093178399978648E+020 -4.304962896119592E+020  9.093178660762005E+020 -4.304963156902955E+020  3.989223162302474E+021  3.989223162302476E+021  5.460064405396505E-017  3.002476750079492E-017  8.952471687830811E-007
        14  1.400000000000000E+001 -5.645135637066158E-001  1.016219466406525E+000  1.554226268860685E-005  1.091006617221493E+022 -1.090927207220781E+022  9.093178399978648E+020 -4.304962896119592E+020  9.093178660762005E+020 -4.304963156902955E+020  3.989223162302474E+021  3.989223162302476E+021  5.460064405396505E-017  3.002476750079492E-017  8.952471687830811E-007
        15  1.500000000000000E+001 -5.644783559963551E-001  1.016156087087883E+000  1.554562272428654E-005  1.090938569328605E+022 -1.090859159327893E+022  9.092611527181638E+020 -4.304694379447438E+020  9.092611787925617E+020 -4.304694640191418E+020  3.989223162302474E+021  3.989223162302476E+021  7.009191973589550E-017  1.739365841425361E-017  9.592938384746952E-007
        15  1.500000000000000E+001 -5.644783559963551E-001  1.016156087087883E+000  1.554562272428654E-005  1.090938569328605E+022 -1.090859159327893E+022  9.092611527181638E+020 -4.304694379447438E+020  9.092611787925617E+020 -4.304694640191418E+020  3.989223162302474E+021  3.989223162302476E+021  7.009191973589550E-017  1.739365841425361E-017  9.592938384746952E-007
        16  1.600000000000000E+001 -5.644431504818721E-001  1.016092712096414E+000  1.554898281184409E-005  1.090870525680101E+022 -1.090791115679390E+022  9.092044689729320E+020 -4.304425879518894E+020  9.092044950433917E+020 -4.304426140223495E+020  3.989223162302474E+021  3.989223162302476E+021  6.276609334010241E-017  3.069773642753687E-017  1.023352983352756E-006
        16  1.600000000000000E+001 -5.644431504818721E-001  1.016092712096414E+000  1.554898281184409E-005  1.090870525680101E+022 -1.090791115679390E+022  9.092044689729320E+020 -4.304425879518894E+020  9.092044950433917E+020 -4.304426140223495E+020  3.989223162302474E+021  3.989223162302476E+021  6.276609334010241E-017  3.069773642753687E-017  1.023352983352756E-006
        17  1.700000000000000E+001 -5.644079471630378E-001  1.016029341423900E+000  1.555234295118658E-005  1.090802486275718E+022 -1.090723076275007E+022  9.091477887619485E+020 -4.304157396332919E+020  9.091478148284702E+020 -4.304157656998140E+020  3.989223162302474E+021  3.989223162302476E+021  6.275815154567014E-017  3.194014059998356E-017  1.087424433681809E-006
        17  1.700000000000000E+001 -5.644079471630378E-001  1.016029341423900E+000  1.555234295118658E-005  1.090802486275718E+022 -1.090723076275007E+022  9.091477887619485E+020 -4.304157396332919E+020  9.091478148284702E+020 -4.304157656998140E+020  3.989223162302474E+021  3.989223162302476E+021  6.275815154567014E-017  3.194014059998356E-017  1.087424433681809E-006
        18  1.800000000000000E+001 -5.643727460397098E-001  1.015965975062296E+000  1.555570314221932E-005  1.090734451115190E+022 -1.090655041114479E+022  9.090911120849933E+020 -4.303888929888469E+020  9.090911381475772E+020 -4.303889190514310E+020  3.989223162302474E+021  3.989223162302476E+021  7.226650936398225E-017  2.909296437145990E-017  1.151508020731905E-006
