      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
        11  1.100000000000000E+001 -5.642264877128510E-001  1.015712552590556E+000  4.187768483420677E-006  1.090443795445108E+022 -1.090364385444397E+022  9.088644381117249E+020 -4.302815205488539E+020  9.088644198996045E+020 -4.302815023367345E+020  3.989223162302474E+021  3.989223162302476E+021  2.183088130732421E-017  6.388028119996711E-017  2.810711326078737E-001
        12  1.200000000000000E+001 -5.641559340411395E-001  1.015585867013921E+000  1.964491939550753E-006  1.090306447066149E+022 -1.090227037065438E+022  9.087510967234614E+020 -4.302278187711227E+020  9.087511226977919E+020 -4.302278447454538E+020  3.989223162302474E+021  3.989223162302476E+021  1.735540749640309E-017  6.232727598440875E-017  3.067887073799334E-001
        12  1.200000000000000E+001 -5.641559340411395E-001  1.015585867013921E+000  1.964491939550753E-006  1.090306447066149E+022 -1.090227037065438E+022  9.087510967234614E+020 -4.302278187711227E+020  9.087511226977919E+020 -4.302278447454538E+020  3.989223162302474E+021  3.989223162302476E+021  1.735540749640309E-017  6.232727598440875E-017  3.067887073799334E-001
        13  1.300000000000000E+001 -5.640838495703268E-001  1.015459198474157E+000  1.816835122985499E-005  1.090168325699800E+022 -1.090088915699089E+022  9.086378133588602E+020 -4.301741675807969E+020  9.086378098705142E+020 -4.301741640924515E+020  3.989223162302474E+021  3.989223162302476E+021  9.382231087117487E-018  8.168807433836962E-017  3.325140872196329E-001
        13  1.300000000000000E+001 -5.640838495703268E-001  1.015459198474157E+000  1.816835122985499E-005  1.090168325699800E+022 -1.090088915699089E+022  9.086378133588602E+020 -4.301741675807969E+020  9.086378098705142E+020 -4.301741640924515E+020  3.989223162302474E+021  3.989223162302476E+021  9.382231087117487E-018  8.168807433836962E-017  3.325140872196329E-001
        14  1.400000000000000E+001 -5.640140661580686E-001  1.015332546917687E+000  4.257273774613396E-006  1.090030872996242E+022 -1.089951462995531E+022  9.085245301411376E+020 -4.301205091020205E+020  9.085245100962927E+020 -4.301204890571765E+020  3.989223162302474E+021  3.989223162302476E+021  1.028741414332669E-017  7.128293939412862E-017  3.582362053001533E-001
        14  1.400000000000000E+001 -5.640140661580686E-001  1.015332546917687E+000  4.257273774613396E-006  1.090030872996242E+022 -1.089951462995531E+022  9.085245301411376E+020 -4.301205091020205E+020  9.085245100962927E+020 -4.301204890571765E+020  3.989223162302474E+021  3.989223162302476E+021  1.028741414332669E-017  7.128293939412862E-017  3.582362053001533E-001
        15  1.500000000000000E+001 -5.639434187202736E-001  1.015205912293174E+000  1.411215868646269E-006  1.089893487602872E+022 -1.089814077602161E+022  9.084112313056359E+020 -4.300668275710630E+020  9.084112564834077E+020 -4.300668527488357E+020  3.989223162302474E+021  3.989223162302476E+021  1.354986543892471E-017  7.920326599347624E-017  3.839422347664611E-001
        15  1.500000000000000E+001 -5.639434187202736E-001  1.015205912293174E+000  1.411215868646269E-006  1.089893487602872E+022 -1.089814077602161E+022  9.084112313056359E+020 -4.300668275710630E+020  9.084112564834077E+020 -4.300668527488357E+020  3.989223162302474E+021  3.989223162302476E+021  1.354986543892471E-017  7.920326599347624E-017  3.839422347664611E-001
        16  1.600000000000000E+001 -5.638712410998354E-001  1.015079294551441E+000  1.630934450465027E-005  1.089755470847675E+022 -1.089676060846964E+022  9.082979888986221E+020 -4.300131950351185E+020  9.082979872507995E+020 -4.300131933872968E+020  3.989223162302474E+021  3.989223162302476E+021  1.088237000425603E-017  6.077427076885040E-017  4.096174694152500E-001
        16  1.600000000000000E+001 -5.638712410998354E-001  1.015079294551441E+000  1.630934450465027E-005  1.089755470847675E+022 -1.089676060846964E+022  9.082979888986221E+020 -4.300131950351185E+020  9.082979872507995E+020 -4.300131933872968E+020  3.989223162302474E+021  3.989223162302476E+021  1.088237000425603E-017  6.077427076885040E-017  4.096174694152500E-001
        17  1.700000000000000E+001 -5.638017151772703E-001  1.014952693645356E+000  6.522168111473781E-006  1.089618140293632E+022 -1.089538730292920E+022  9.081847492643186E+020 -4.299595578393364E+020  9.081847273881483E+020 -4.299595359631672E+020  3.989223162302474E+021  3.989223162302476E+021  2.691875706967820E-018  6.538151957500686E-017  4.352452653358632E-001
        17  1.700000000000000E+001 -5.638017151772703E-001  1.014952693645356E+000  6.522168111473781E-006  1.089618140293632E+022 -1.089538730292920E+022  9.081847492643186E+020 -4.299595578393364E+020  9.081847273881483E+020 -4.299595359631672E+020  3.989223162302474E+021  3.989223162302476E+021  2.691875706967820E-018  6.538151957500686E-017  4.352452653358632E-001
        18  1.800000000000000E+001 -5.637309740565968E-001  1.014826109529761E+000  4.784136244011328E-006  1.089480651266684E+022 -1.089401241265973E+022  9.080714940179562E+020 -4.299058975998741E+020  9.080715173474237E+020 -4.299059209293424E+020  3.989223162302474E+021  3.989223162302476E+021  1.013202841073885E-017  5.797886138084535E-017  4.608073687093419E-001
