      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE  VALIDATION_ERR_CVRMSD 
         0  0.000000000000000E+000 -5.650067022841824E-001  1.017107236282047E+000  1.549522768897386E-005  1.091959733530610E+022 -1.091880323529898E+022  9.101118331563500E+020 -4.308723888193755E+020  9.101118592898306E+020 -4.308724149528566E+020  3.989223162302474E+021  3.989223162302476E+021  4.834036240852604E-018  4.348414603563402E-017  1.605325145784089E-015
         1  1.000000000000000E+000 -5.649878463534460E-001  1.017075515287468E+000  2.845014558499547E-005  1.091923522064998E+022 -1.091844112064287E+022  9.100834839841306E+020 -4.308589707129693E+020  9.100834731186592E+020 -4.308589598474982E+020  3.989223162302474E+021  3.989223162302476E+021  4.080067828904275E-018  4.514068493222960E-017  2.542352415181927E-002
         1  1.000000000000000E+000 -5.649878463534460E-001  1.017075515287468E+000  2.845014558499547E-005  1.091923522064998E+022 -1.091844112064287E+022  9.100834839841306E+020 -4.308589707129693E+020  9.100834731186592E+020 -4.308589598474982E+020  3.989223162302474E+021  3.989223162302476E+021  4.080067828904275E-018  4.514068493222960E-017  2.542352415181927E-002
         2  2.000000000000000E+000 -5.649698779286862E-001  1.017043795410133E+000  1.231655476390980E-005  1.091887831558542E+022 -1.091808421557831E+022  9.100551142032959E+020 -4.308455315325003E+020  9.100551014953837E+020 -4.308455188245884E+020  3.989223162302474E+021  3.989223162302476E+021  1.863289878900248E-017  4.622778858312045E-017  5.083308953677567E-002
         2  2.000000000000000E+000 -5.649698779286862E-001  1.017043795410133E+000  1.231655476390980E-005  1.091887831558542E+022 -1.091808421557831E+022  9.100551142032959E+020 -4.308455315325003E+020  9.100551014953837E+020 -4.308455188245884E+020  3.989223162302474E+021  3.989223162302476E+021  1.863289878900248E-017  4.622778858312045E-017  5.083308953677567E-002
         3  3.000000000000000E+000 -5.649524447039799E-001  1.017012076648618E+000  6.421248854902167E-006  1.091852600226399E+022 -1.091773190225688E+022  9.100267219925252E+020 -4.308320694566622E+020  9.100267481040781E+020 -4.308320955682158E+020  3.989223162302474E+021  3.989223162302476E+021  6.980658153358366E-018  6.087780444988763E-017  7.621481341240342E-002
         3  3.000000000000000E+000 -5.649524447039799E-001  1.017012076648618E+000  6.421248854902167E-006  1.091852600226399E+022 -1.091773190225688E+022  9.100267219925252E+020 -4.308320694566622E+020  9.100267481040781E+020 -4.308320955682158E+020  3.989223162302474E+021  3.989223162302476E+021  6.980658153358366E-018  6.087780444988763E-017  7.621481341240342E-002
         4  4.000000000000000E+000 -5.649334700486432E-001  1.016980359001512E+000  2.221035369147486E-005  1.091816372253129E+022 -1.091736962252418E+022  9.099983748217644E+020 -4.308186519554154E+020  9.099983658000765E+020 -4.308186429337284E+020  3.989223162302474E+021  3.989223162302476E+021  8.168013505813269E-018  6.947109997597720E-017  1.015548282850635E-001
         4  4.000000000000000E+000 -5.649334700486432E-001  1.016980359001512E+000  2.221035369147486E-005  1.091816372253129E+022 -1.091736962252418E+022  9.099983748217644E+020 -4.308186519554154E+020  9.099983658000765E+020 -4.308186429337284E+020  3.989223162302474E+021  3.989223162302476E+021  8.168013505813269E-018  6.947109997597720E-017  1.015548282850635E-001
         5  5.000000000000000E+000 -5.649157350089724E-001  1.016948642467439E+000  1.716459769832481E-005  1.091780730404251E+022 -1.091701320403540E+022  9.099700089064317E+020 -4.308052152441930E+020  9.099699943571860E+020 -4.308052006949477E+020  3.989223162302474E+021  3.989223162302476E+021  1.528656481289252E-017  7.138647307516584E-017  1.268392894865518E-001
