      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
         0  0.000000000000000E+000 -5.650067022841824E-001  1.017107236282047E+000  1.549522768897337E-005  1.091959733530610E+022 -1.091880323529899E+022  9.101118331563500E+020 -4.308723888193755E+020  9.101118592898306E+020 -4.308724149528566E+020  3.989223162302474E+021  3.989223162302476E+021  2.414799654497237E-018  4.503715125119238E-017  1.605325145784089E-015
         1  1.000000000000000E+000 -5.649702274339373E-001  1.017043795410503E+000  2.844710139949091E-005  1.091889468986833E+022 -1.091810058986122E+022  9.100551160318677E+020 -4.308455333610681E+020  9.100551051667333E+020 -4.308455224959344E+020  3.989223162302474E+021  3.989223162302476E+021  2.803068058214642E-018  4.664192330726934E-017  2.542757637325907E-002
         1  1.000000000000000E+000 -5.649702274339373E-001  1.017043795410503E+000  2.844710139949091E-005  1.091889468986833E+022 -1.091810058986122E+022  9.100551160318677E+020 -4.308455333610681E+020  9.100551051667333E+020 -4.308455224959344E+020  3.989223162302474E+021  3.989223162302476E+021  2.803068058214642E-018  4.664192330726934E-017  2.542757637325907E-002
         2  2.000000000000000E+000 -5.649346417597351E-001  1.016980359002225E+000  1.231061549785708E-005  1.091819728689693E+022 -1.091740318688982E+022  9.099983809520225E+020 -4.308186580856660E+020  9.099983682448994E+020 -4.308186453785433E+020  3.989223162302474E+021  3.989223162302476E+021  9.863994533730264E-018  4.395004760030153E-017  5.086493310466834E-002
         2  2.000000000000000E+000 -5.649346417597351E-001  1.016980359002225E+000  1.231061549785708E-005  1.091819728689693E+022 -1.091740318688982E+022  9.099983809520225E+020 -4.308186580856660E+020  9.099983682448994E+020 -4.308186453785433E+020  3.989223162302474E+021  3.989223162302476E+021  9.863994533730264E-018  4.395004760030153E-017  5.086493310466834E-002
         3  3.000000000000000E+000 -5.648995929054828E-001  1.016916927046069E+000  6.406060466819472E-006  1.091750450829100E+022 -1.091671040828389E+022  9.099416261009484E+020 -4.307917611774187E+020  9.099416522065938E+020 -4.307917872830644E+020  3.989223162302474E+021  3.989223162302476E+021  2.106725973716122E-017  5.751295981617785E-017  7.632042302702287E-002
         3  3.000000000000000E+000 -5.648995929054828E-001  1.016916927046069E+000  6.406060466819472E-006  1.091750450829100E+022 -1.091671040828389E+022  9.099416261009484E+020 -4.307917611774187E+020  9.099416522065938E+020 -4.307917872830644E+020  3.989223162302474E+021  3.989223162302476E+021  2.106725973716122E-017  5.751295981617785E-017  7.632042302702287E-002
         4  4.000000000000000E+000 -5.648630044494685E-001  1.016853499531094E+000  2.220344773109515E-005  1.091680179676605E+022 -1.091600769675893E+022  9.098849189317635E+020 -4.307649100895606E+020  9.098849099111964E+020 -4.307649010689939E+020  3.989223162302474E+021  3.989223162302476E+021  1.811247700494177E-017  6.538151957500686E-017  1.018007780024268E-001
         4  4.000000000000000E+000 -5.648630044494685E-001  1.016853499531094E+000  2.220344773109515E-005  1.091680179676605E+022 -1.091600769675893E+022  9.098849189317635E+020 -4.307649100895606E+020  9.098849099111964E+020 -4.307649010689939E+020  3.989223162302474E+021  3.989223162302476E+021  1.811247700494177E-017  6.538151957500686E-017  1.018007780024268E-001
         5  5.000000000000000E+000 -5.648276571484050E-001  1.016790076446620E+000  1.713636313844229E-005  1.091610497903811E+022 -1.091531087903100E+022  9.098281956759090E+020 -4.307380410536491E+020  9.098281811289220E+020 -4.307380265066625E+020  3.989223162302474E+021  3.989223162302476E+021  9.391366659960607E-018  7.133470623464723E-017  1.273110723362124E-001
         5  5.000000000000000E+000 -5.648276571484050E-001  1.016790076446620E+000  1.713636313844229E-005  1.091610497903811E+022 -1.091531087903100E+022  9.098281956759090E+020 -4.307380410536491E+020  9.098281811289220E+020 -4.307380265066625E+020  3.989223162302474E+021  3.989223162302476E+021  9.391366659960607E-018  7.133470623464723E-017  1.273110723362124E-001
         6  6.000000000000000E+000 -5.647924944183318E-001  1.016726657782196E+000  8.701579033453747E-006  1.091541201927716E+022 -1.091461791927004E+022  9.097714508331781E+020 -4.307111485695929E+020  9.097714769108877E+020 -4.307111746473029E+020  3.989223162302474E+021  3.989223162302476E+021  8.419395608984929E-018  8.453525056689328E-017  1.528547088447587E-001
         6  6.000000000000000E+000 -5.647924944183318E-001  1.016726657782196E+000  8.701579033453747E-006  1.091541201927716E+022 -1.091461791927004E+022  9.097714508331781E+020 -4.307111485695929E+020  9.097714769108877E+020 -4.307111746473029E+020  3.989223162302474E+021  3.989223162302476E+021  8.419395608984929E-018  8.453525056689328E-017  1.528547088447587E-001
         7  7.000000000000000E+000 -5.647557924029570E-001  1.016663243527589E+000  1.367887146990432E-005  1.091470938887229E+022 -1.091391528886518E+022  9.097147536174535E+020 -4.306843018513916E+020  9.097147464407371E+020 -4.306842946746756E+020  3.989223162302474E+021  3.989223162302476E+021  8.360625209549577E-018  7.832322970465984E-017  1.784334007226948E-001
         7  7.000000000000000E+000 -5.647557924029570E-001  1.016663243527589E+000  1.367887146990432E-005  1.091470938887229E+022 -1.091391528886518E+022  9.097147536174535E+020 -4.306843018513916E+020  9.097147464407371E+020 -4.306842946746756E+020  3.989223162302474E+021  3.989223162302476E+021  8.360625209549577E-018  7.832322970465984E-017  1.784334007226948E-001
         8  8.000000000000000E+000 -5.647206833839050E-001  1.016599833672793E+000  3.637745466714797E-006  1.091401330959141E+022 -1.091321920958430E+022  9.096580421831370E+020 -4.306574390535622E+020  9.096580257970026E+020 -4.306574226674283E+020  3.989223162302474E+021  3.989223162302476E+021  5.634981690740763E-018  6.947109997597720E-017  2.040470914503946E-001
         8  8.000000000000000E+000 -5.647206833839050E-001  1.016599833672793E+000  3.637745466714797E-006  1.091401330959141E+022 -1.091321920958430E+022  9.096580421831370E+020 -4.306574390535622E+020  9.096580257970026E+020 -4.306574226674283E+020  3.989223162302474E+021  3.989223162302476E+021  5.634981690740763E-018  6.947109997597720E-017  2.040470914503946E-001
         9  9.000000000000000E+000 -5.646854068243946E-001  1.016536428208032E+000  5.307039290852818E-006  1.091331997660164E+022 -1.091252587659452E+022  9.096013073471131E+020 -4.306305509931059E+020  9.096013333967860E+020 -4.306305770427793E+020  3.989223162302474E+021  3.989223162302476E+021  2.720439820517033E-017  6.828046264404913E-017  2.296939827274848E-001
         9  9.000000000000000E+000 -5.646854068243946E-001  1.016536428208032E+000  5.307039290852818E-006  1.091331997660164E+022 -1.091252587659452E+022  9.096013073471131E+020 -4.306305509931059E+020  9.096013333967860E+020 -4.306305770427793E+020  3.989223162302474E+021  3.989223162302476E+021  2.720439820517033E-017  6.828046264404913E-017  2.296939827274848E-001
        10  1.000000000000000E+001 -5.646485912960849E-001  1.016473027123705E+000  2.791253125883313E-006  1.091261769643829E+022 -1.091182359643118E+022  9.095446200830119E+020 -4.306037086437685E+020  9.095446147494302E+020 -4.306037033101873E+020  3.989223162302474E+021  3.989223162302476E+021  2.909370125665471E-017  8.054920384696016E-017  2.553704985746063E-001
        10  1.000000000000000E+001 -5.646485912960849E-001  1.016473027123705E+000  2.791253125883313E-006  1.091261769643829E+022 -1.091182359643118E+022  9.095446200830119E+020 -4.306037086437685E+020  9.095446147494302E+020 -4.306037033101873E+020  3.989223162302474E+021  3.989223162302476E+021  2.909370125665471E-017  8.054920384696016E-017  2.553704985746063E-001
        11  1.100000000000000E+001 -5.646137204678979E-001  1.016409630410470E+000  4.183287266950089E-006  1.091192216232660E+022 -1.091112806231948E+022  9.094879204677807E+020 -4.305768520826134E+020  9.094879022432154E+020 -4.305768338580487E+020  3.989223162302474E+021  3.989223162302476E+021  4.247115146935604E-017  7.930679967451347E-017  2.810711729372565E-001
        11  1.100000000000000E+001 -5.646137204678979E-001  1.016409630410470E+000  4.183287266950089E-006  1.091192216232660E+022 -1.091112806231948E+022  9.094879204677807E+020 -4.305768520826134E+020  9.094879022432154E+020 -4.305768338580487E+020  3.989223162302474E+021  3.989223162302476E+021  4.247115146935604E-017  7.930679967451347E-017  2.810711729372565E-001
        12  1.200000000000000E+001 -5.645783301253317E-001  1.016346238059137E+000  1.914022193054595E-006  1.091122828651523E+022 -1.091043418650812E+022  9.094311956368286E+020 -4.305499684451657E+020  9.094312216583641E+020 -4.305499944667019E+020  3.989223162302474E+021  3.989223162302476E+021  5.945439099493130E-017  9.224850980416646E-017  3.067887556778156E-001
        12  1.200000000000000E+001 -5.645783301253317E-001  1.016346238059137E+000  1.914022193054595E-006  1.091122828651523E+022 -1.091043418650812E+022  9.094311956368286E+020 -4.305499684451657E+020  9.094312216583641E+020 -4.305499944667019E+020  3.989223162302474E+021  3.989223162302476E+021  5.945439099493130E-017  9.224850980416646E-017  3.067887556778156E-001
