      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
        16  1.600000000000000E+001 -1.372122938060877E+000  1.372122938060876E+000  0.000000000000000E+000  4.565513240173017E+020 -4.565513240173016E+020  2.887405993251807E+018 -2.887405993251807E+018  2.534058138690585E-032 -2.534058167994732E-032  3.989223162302474E+021  3.989223162302476E+021  3.249626121290309E-002  1.164753911668768E-019  1.428773061145489E-004
        17  1.700000000000000E+001 -1.368562609417331E+000  1.368562609417331E+000  0.000000000000000E+000  4.565513240170554E+020 -4.565513240170554E+020  2.735219239267010E+018 -2.735219239267009E+018  1.762207023581200E-032 -1.762207036419559E-032  3.989223162302474E+021  3.989223162302476E+021  3.256665541838417E-002 -4.400181444082014E-019  1.518827887499169E-004
        18  1.800000000000000E+001 -1.364515160308987E+000  1.364515160308986E+000  0.000000000000000E+000  4.565513240167170E+020 -4.565513240167170E+020  2.590166305245855E+018 -2.590166305245855E+018  2.839729094343807E-032 -2.839728999915397E-032  3.989223162302474E+021  3.989223162302476E+021  3.263687167686048E-002  6.729689267419550E-019  1.608972567469071E-004
        19  1.900000000000000E+001 -1.359985030185328E+000  1.359985030185328E+000  0.000000000000000E+000  4.565513240171695E+020 -4.565513240171695E+020  2.451964097712260E+018 -2.451964097712260E+018  1.025580031806562E-031 -1.025579989056726E-031  3.989223162302474E+021  3.989223162302476E+021  3.270690960463686E-002  1.682422316854888E-019  1.699207182853590E-004
        20  2.000000000000000E+001 -1.358010337467845E+000  1.358010337467845E+000  0.000000000000000E+000  4.565513240187132E+020 -4.565513240187132E+020  2.320337966294103E+018 -2.320337966294103E+018  1.997436496945729E-031 -1.997436375354536E-031  3.989223162302474E+021  3.989223162302476E+021  3.277676881899276E-002  7.117940571309140E-020  1.789531804583159E-004
        21  2.100000000000000E+001 -1.356217306794352E+000  1.356217306794352E+000  0.000000000000000E+000  4.565513240196120E+020 -4.565513240196121E+020  2.195021595798537E+018 -2.195021595798537E+018  2.868152267785505E-031 -2.868151990374201E-031  3.989223162302474E+021  3.989223162302476E+021  3.284644893818423E-002 -1.358879563613563E-019  1.879946493118790E-004
        22  2.200000000000000E+001 -1.353934085075603E+000  1.353934085075603E+000  0.000000000000000E+000  4.565513240200103E+020 -4.565513240200103E+020  2.075756896951078E+018 -2.075756896951078E+018  3.024410233499204E-031 -3.024409693136935E-031  3.989223162302474E+021  3.989223162302476E+021  3.291594958144613E-002 -3.300136083061510E-019  1.970451298833561E-004
        23  2.300000000000000E+001 -1.351163218768620E+000  1.351163218768620E+000  0.000000000000000E+000  4.565513240200311E+020 -4.565513240200311E+020  1.962293885120409E+018 -1.962293885120409E+018  2.167076755954101E-031 -2.167075843234511E-031  3.989223162302474E+021  3.989223162302476E+021  3.298527036899408E-002  5.176684051861192E-020  2.061046262381896E-004
        24  2.400000000000000E+001 -1.347907779536355E+000  1.347907779536355E+000  0.000000000000000E+000  4.565513240197777E+020 -4.565513240197776E+020  1.854390555259309E+018 -1.854390555259309E+018  4.813283002475925E-031 -4.813281686614651E-031  3.989223162302474E+021  3.989223162302476E+021  3.305441092202662E-002  2.588342025930596E-020  2.151731415054924E-004
        25  2.500000000000000E+001 -1.344171358502101E+000  1.344171358502101E+000  0.000000000000000E+000  4.565513240193351E+020 -4.565513240193351E+020  1.751812751648823E+018 -1.751812751648823E+018  1.578676357949936E-030 -1.578676207727070E-030  3.989223162302474E+021  3.989223162302476E+021  3.312337086272724E-002  1.682422316854888E-019  2.242506779124626E-004
