      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
        19  1.900000000000000E+001 -1.359241076705588E+000  1.357193720679243E+000  0.000000000000000E+000  4.565513240171695E+020 -4.565513240171693E+020  2.451964097710121E+018 -2.451964097710120E+018  1.025580037299628E-031 -1.025579988324954E-031  3.989223162302474E+021  3.989223162302476E+021  3.270690686666787E-002  5.176684051861192E-019  9.510606268593678E-004
        20  2.000000000000000E+001 -1.354756342270086E+000  1.357270782988608E+000  0.000000000000000E+000  4.565513240187133E+020 -4.565513240187132E+020  2.320337966291972E+018 -2.320337966291972E+018  1.997436506032321E-031 -1.997436372737606E-031  3.989223162302474E+021  3.989223162302476E+021  3.277676593076172E-002  5.176684051861192E-020  1.000951099363196E-003
        21  2.100000000000000E+001 -1.355449621031902E+000  1.352470089900187E+000  0.000000000000000E+000  4.565513240196121E+020 -4.565513240196121E+020  2.195021595796429E+018 -2.195021595796428E+018  2.868152287136648E-031 -2.868151990225671E-031  3.989223162302474E+021  3.989223162302476E+021  3.284644589909192E-002  3.235427532413245E-019  1.050825112648158E-003
        22  2.200000000000000E+001 -1.349682996715925E+000  1.353106653169533E+000  0.000000000000000E+000  4.565513240200104E+020 -4.565513240200105E+020  2.075756896949004E+018 -2.075756896949004E+018  3.025353298898578E-031 -3.025352731376666E-031  3.989223162302474E+021  3.989223162302476E+021  3.291594639089566E-002  6.600272166123020E-019  1.100682677237606E-003
        23  2.300000000000000E+001 -1.350244679540527E+000  1.347295832606775E+000  0.000000000000000E+000  4.565513240200314E+020 -4.565513240200314E+020  1.962293885118381E+018 -1.962293885118381E+018  2.167076743590876E-031 -2.167075805051478E-031  3.989223162302474E+021  3.989223162302476E+021  3.298526702639099E-002  3.364844633709775E-019  1.150523803620149E-003
        24  2.400000000000000E+001 -1.344391973274675E+000  1.346867095507357E+000  0.000000000000000E+000  4.565513240197783E+020 -4.565513240197783E+020  1.854390555257336E+018 -1.854390555257335E+018  4.813287094191999E-031 -4.813285784738870E-031  3.989223162302474E+021  3.989223162302476E+021  3.305440742677891E-002  1.488296664910093E-019  1.200348502252975E-003
        25  2.500000000000000E+001 -1.342977884874323E+000  1.340974861980555E+000  0.000000000000000E+000  4.565513240193363E+020 -4.565513240193363E+020  1.751812751646915E+018 -1.751812751646915E+018  1.578676362928336E-030 -1.578676224081348E-030  3.989223162302474E+021  3.989223162302476E+021  3.312336721424530E-002 -3.882513038895894E-020  1.250156783565452E-003
        26  2.600000000000000E+001 -1.337048527512153E+000  1.338581611993013E+000  0.000000000000000E+000  4.565513240187752E+020 -4.565513240187752E+020  1.654334032923010E+018 -1.654334032923009E+018  3.372727048853801E-030 -3.372726993174216E-030  3.989223162302474E+021  3.989223162302476E+021  3.319214601196313E-002 -4.400181444082014E-019  1.299948657962222E-003
        27  2.700000000000000E+001 -1.335566122631500E+000  1.334499595586170E+000  0.000000000000000E+000  4.565513240201297E+020 -4.565513240201297E+020  1.561735534830355E+018 -1.561735534830355E+018  5.911305171582363E-030 -5.911305400500665E-030  3.989223162302474E+021  3.989223162302476E+021  3.326074344409446E-002  4.141347241488954E-019  1.349724135826191E-003
        28  2.800000000000000E+001 -1.333197694784883E+000  1.333801149804928E+000  0.000000000000000E+000  4.565513240215568E+020 -4.565513240215568E+020  1.473805821352491E+018 -1.473805821352491E+018  9.029462722531068E-030 -9.029463609901889E-030  3.989223162302474E+021  3.989223162302476E+021  3.332915913579247E-002  0.000000000000000E+000  1.399483227521549E-003
