      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
        10  1.000000000000000E+001 -1.424020227448551E+000  1.421718399923693E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  6.557520501392244E+018 -6.557520501392244E+018  1.180392334810424E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606860977864E-002 -1.860370831137616E-019  4.884893948933620E-004
        11  1.100000000000000E+001 -1.422025704807086E+000  1.423832594254739E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141227E+020  6.557520501392243E+018 -6.557520501392244E+018  1.180392334810424E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606847350638E-002  4.853141298619868E-020  5.372184371727172E-004
        12  1.200000000000000E+001 -1.423611321432058E+000  1.422299224494230E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141227E+020  6.557520501392244E+018 -6.557520501392243E+018  1.180392334810424E-030 -1.180392334810424E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606833723422E-002  3.364844633709775E-019  5.859257864404136E-004
        13  1.300000000000000E+001 -1.422538961902089E+000  1.423356446319707E+000  0.000000000000000E+000  4.565513240141227E+020 -4.565513240141228E+020  6.557520501392244E+018 -6.557520501392243E+018  1.180392334810424E-030 -1.180392334810424E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606820096215E-002  5.047266950564662E-019  6.346114691196523E-004
        14  1.400000000000000E+001 -1.423068008526771E+000  1.422744922291854E+000  0.000000000000000E+000  4.565513240141227E+020 -4.565513240141226E+020  6.557520501392243E+018 -6.557520501392243E+018  1.180392334810424E-030 -1.180392334810424E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606806469017E-002  7.247357672605670E-019  6.832755115735494E-004
        15  1.500000000000000E+001 -1.422917113264361E+000  1.422746049923967E+000  0.000000000000000E+000  4.565513240141226E+020 -4.565513240141226E+020  6.557520501392243E+018 -6.557520501392243E+018  1.180392334810424E-030 -1.180392334810424E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606792841829E-002 -2.847176228523656E-019  7.319179401053064E-004
        16  1.600000000000000E+001 -1.422390614635187E+000  1.423055544755233E+000  0.000000000000000E+000  4.565513240141226E+020 -4.565513240141226E+020  6.557520501392242E+018 -6.557520501392243E+018  1.180392334810424E-030 -1.180392334810424E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606779214649E-002  2.070673620744477E-019  7.805387809586473E-004
        17  1.700000000000000E+001 -1.423160229029807E+000  1.422001749028807E+000  0.000000000000000E+000  4.565513240141226E+020 -4.565513240141226E+020  6.557520501392243E+018 -6.557520501392242E+018  1.180392334810424E-030 -1.180392334810424E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606765587479E-002 -1.682422316854888E-019  8.291380603178560E-004
        18  1.800000000000000E+001 -1.421579501708786E+000  1.423231180677796E+000  0.000000000000000E+000  4.565513240141226E+020 -4.565513240141226E+020  6.557520501392242E+018 -6.557520501392242E+018  1.180392334810424E-030 -1.180392334810424E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606751960318E-002 -4.659015646675073E-019  8.777158043080688E-004
        19  1.900000000000000E+001 -1.423268416607723E+000  1.421123923505530E+000  0.000000000000000E+000  4.565513240141226E+020 -4.565513240141226E+020  6.557520501392242E+018 -6.557520501392242E+018  1.180392334810424E-030 -1.180392334810424E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606738333166E-002 -7.765026077791789E-020  9.262720389951307E-004
        20  2.000000000000000E+001 -1.420635067466565E+000  1.423271956041103E+000  0.000000000000000E+000  4.565513240141226E+020 -4.565513240141226E+020  6.557520501392242E+018 -6.557520501392242E+018  1.180392334810424E-030 -1.180392334810424E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606724706023E-002 -2.847176228523656E-019  9.748067903865511E-004
        21  2.100000000000000E+001 -1.423241820506400E+000  1.420112988846963E+000  0.000000000000000E+000  4.565513240141226E+020 -4.565513240141226E+020  6.557520501392242E+018 -6.557520501392242E+018  1.180392334810424E-030 -1.180392334810424E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606711078889E-002 -1.294171012965298E-019  1.023320084431015E-003
        22  2.200000000000000E+001 -1.419577387116864E+000  1.423178033832728E+000  0.000000000000000E+000  4.565513240141226E+020 -4.565513240141226E+020  6.557520501392244E+018 -6.557520501392242E+018  1.180392334810424E-030 -1.180392334810424E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606697451765E-002 -3.623678836302835E-019  1.071811947018958E-003
        23  2.300000000000000E+001 -1.423080622143344E+000  1.419973130225613E+000  0.000000000000000E+000  4.565513240141228E+020 -4.565513240141228E+020  6.557520501392245E+018 -6.557520501392244E+018  1.180392334810424E-030 -1.180392334810425E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606683824649E-002 -7.894443179088319E-019  1.120282403982698E-003
        24  2.400000000000000E+001 -1.420335227210365E+000  1.422949613848870E+000  0.000000000000000E+000  4.565513240141231E+020 -4.565513240141230E+020  6.557520501392249E+018 -6.557520501392249E+018  1.180392334810426E-030 -1.180392334810426E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606670197543E-002  1.294171012965298E-020  1.168731481096477E-003
        25  2.500000000000000E+001 -1.422785039640328E+000  1.420663674454690E+000  0.000000000000000E+000  4.565513240141236E+020 -4.565513240141237E+020  6.557520501392257E+018 -6.557520501392256E+018  1.180392334810427E-030 -1.180392334810427E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606656570445E-002 -4.076638690840689E-019  1.217159204076932E-003
        26  2.600000000000000E+001 -1.420958470677782E+000  1.422586932481894E+000  0.000000000000000E+000  4.565513240141247E+020 -4.565513240141247E+020  6.557520501392272E+018 -6.557520501392271E+018  1.180392334810430E-030 -1.180392334810430E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606642943357E-002  5.176684051861192E-020  1.265565598583171E-003
        27  2.700000000000000E+001 -1.422355327603477E+000  1.421219616930647E+000  0.000000000000000E+000  4.565513240141266E+020 -4.565513240141266E+020  6.557520501392300E+018 -6.557520501392300E+018  1.180392334810435E-030 -1.180392334810435E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606629316278E-002 -5.435518254454252E-019  1.313950690216840E-003
        28  2.800000000000000E+001 -1.421447116592093E+000  1.422090262493017E+000  0.000000000000000E+000  4.565513240141298E+020 -4.565513240141298E+020  6.557520501392346E+018 -6.557520501392346E+018  1.180392334810443E-030 -1.180392334810443E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606615689207E-002  7.765026077791789E-020  1.362314504522633E-003
        29  2.900000000000000E+001 -1.421791776888608E+000  1.421640975364415E+000  0.000000000000000E+000  4.565513240141355E+020 -4.565513240141355E+020  6.557520501392428E+018 -6.557520501392428E+018  1.180392334810458E-030 -1.180392334810458E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606602062146E-002 -2.329507823337537E-019  1.410657066988150E-003
        30  3.000000000000000E+001 -1.421801201268902E+000  1.421459912770352E+000  0.000000000000000E+000  4.565513240141449E+020 -4.565513240141449E+020  6.557520501392562E+018 -6.557520501392562E+018  1.180392334810482E-030 -1.180392334810482E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606588435095E-002 -1.553005215558358E-019  1.458978403044395E-003
        31  3.100000000000000E+001 -1.421094714352039E+000  1.421927804641034E+000  0.000000000000000E+000  4.565513240141599E+020 -4.565513240141599E+020  6.557520501392778E+018 -6.557520501392777E+018  1.180392334810520E-030 -1.180392334810521E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606574808053E-002 -1.294171012965298E-019  1.507278538065934E-003
        32  3.200000000000000E+001 -1.422020798125496E+000  1.420696228072551E+000  0.000000000000000E+000  4.565513240141825E+020 -4.565513240141825E+020  6.557520501393103E+018 -6.557520501393102E+018  1.180392334810579E-030 -1.180392334810580E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606561181019E-002 -6.082603760936901E-019  1.555557497370598E-003
        33  3.300000000000000E+001 -1.420264502587114E+000  1.422080196670902E+000  0.000000000000000E+000  4.565513240142145E+020 -4.565513240142145E+020  6.557520501393563E+018 -6.557520501393561E+018  1.180392334810662E-030 -1.180392334810662E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606547553994E-002 -2.588342025930596E-020  1.603815306220432E-003
        34  3.400000000000000E+001 -1.422106017524327E+000  1.419799588758261E+000  0.000000000000000E+000  4.565513240142654E+020 -4.565513240142654E+020  6.557520501394294E+018 -6.557520501394293E+018  1.180392334810794E-030 -1.180392334810794E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606533926979E-002 -2.458924924634066E-019  1.652051989821530E-003
        35  3.500000000000000E+001 -1.419301539646659E+000  1.422098280225554E+000  0.000000000000000E+000  4.565513240143427E+020 -4.565513240143427E+020  6.557520501395403E+018 -6.557520501395402E+018  1.180392334810993E-030 -1.180392334810993E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606520299972E-002 -6.778220680405749E-019  1.700267573324087E-003
        36  3.600000000000000E+001 -1.422057006601132E+000  1.418770410501644E+000  0.000000000000000E+000  4.565513240144445E+020 -4.565513240144445E+020  6.557520501396865E+018 -6.557520501396864E+018  1.180392334811257E-030 -1.180392334811257E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606506672975E-002 -5.629643906399047E-019  1.748462081822856E-003
        37  3.700000000000000E+001 -1.418567015606229E+000  1.421982220758153E+000  0.000000000000000E+000  4.565513240145928E+020 -4.565513240145929E+020  6.557520501398997E+018 -6.557520501398995E+018  1.180392334811640E-030 -1.180392334811640E-030  3.989223162302474E+021  3.989223162302476E+021  3.134606493045986E-002 -6.988523470012610E-019  1.796635540357225E-003
