      STEP                   TIME                  DTIME          DTIME_ADV_STB         DTIME_ADV_USED         DTIME_DIFF_STB        N_DIFF_PER_STEP          N_DIFF_CYCLES 
         0  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  2.411307628373300E-001               0               0
         2  5.000000000000000E-001  2.500000000000000E-001  4.901669596957111E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
         4  1.000000000000000E+000  2.500000000000000E-001  4.901671230891811E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
         6  1.500000000000000E+000  2.500000000000000E-001  4.901672864871302E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
         8  2.000000000000000E+000  2.500000000000000E-001  4.901674498327262E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        10  2.500000000000000E+000  2.500000000000000E-001  4.901676131629902E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        12  3.000000000000000E+000  2.500000000000000E-001  4.901677764780940E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        14  3.500000000000000E+000  2.500000000000000E-001  4.901679397788962E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        16  4.000000000000000E+000  2.500000000000000E-001  4.901681030722708E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        18  4.500000000000000E+000  2.500000000000000E-001  4.901682663863164E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        20  5.000000000000000E+000  2.500000000000000E-001  4.901684297994386E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        22  5.500000000000000E+000  2.500000000000000E-001  4.901685934792529E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        24  6.000000000000000E+000  2.500000000000000E-001  4.901687577220899E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        26  6.500000000000000E+000  2.500000000000000E-001  4.901689229828664E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        28  7.000000000000000E+000  2.500000000000000E-001  4.901690898884451E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        30  7.500000000000000E+000  2.500000000000000E-001  4.901692592325171E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        32  8.000000000000000E+000  2.500000000000000E-001  4.901694319272916E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        34  8.500000000000000E+000  2.500000000000000E-001  4.901696057221481E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        36  9.000000000000000E+000  2.500000000000000E-001  4.901697827291332E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        38  9.500000000000000E+000  2.500000000000000E-001  4.901699634829022E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        40  1.000000000000000E+001  2.500000000000000E-001  4.901701485335070E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        42  1.050000000000000E+001  2.500000000000000E-001  4.901703384387686E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        44  1.100000000000000E+001  2.500000000000000E-001  4.901705337562592E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        46  1.150000000000000E+001  2.500000000000000E-001  4.901707350352482E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        48  1.200000000000000E+001  2.500000000000000E-001  4.901709428087075E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        50  1.250000000000000E+001  2.500000000000000E-001  4.901711575864424E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        52  1.300000000000000E+001  2.500000000000000E-001  4.901713798488681E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        54  1.350000000000000E+001  2.500000000000000E-001  4.901716145684616E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        56  1.400000000000000E+001  2.500000000000000E-001  4.901718616278258E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        58  1.450000000000000E+001  2.500000000000000E-001  4.901721190903982E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        60  1.500000000000000E+001  2.500000000000000E-001  4.901723873046269E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        62  1.550000000000000E+001  2.500000000000000E-001  4.901726665540887E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        64  1.600000000000000E+001  2.500000000000000E-001  4.901729473701860E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        66  1.650000000000000E+001  2.500000000000000E-001  4.901732239316613E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        68  1.700000000000000E+001  2.500000000000000E-001  4.901735086909380E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        70  1.750000000000000E+001  2.500000000000000E-001  4.901738017703607E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        72  1.800000000000000E+001  2.500000000000000E-001  4.901741032662337E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        74  1.850000000000000E+001  2.500000000000000E-001  4.901744164705727E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        76  1.900000000000000E+001  2.500000000000000E-001  4.901747513476350E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        78  1.950000000000000E+001  2.500000000000000E-001  4.901750962630692E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        80  2.000000000000000E+001  2.500000000000000E-001  4.901754511528337E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        82  2.050000000000000E+001  2.500000000000000E-001  4.901758159264538E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        84  2.100000000000000E+001  2.500000000000000E-001  4.901761904697775E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        86  2.150000000000000E+001  2.500000000000000E-001  4.901765746477869E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        88  2.200000000000000E+001  2.500000000000000E-001  4.901769683066310E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        90  2.250000000000000E+001  2.500000000000000E-001  4.901773712752319E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        92  2.300000000000000E+001  2.500000000000000E-001  4.901777833686129E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        94  2.350000000000000E+001  2.500000000000000E-001  4.901782043895210E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        96  2.400000000000000E+001  2.500000000000000E-001  4.901785810428741E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        98  2.450000000000000E+001  2.500000000000000E-001  4.901789486272653E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
       100  2.500000000000000E+001  2.500000000000000E-001  4.901793217521132E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
