      STEP                   TIME                  DTIME          DTIME_ADV_STB         DTIME_ADV_USED         DTIME_DIFF_STB        N_DIFF_PER_STEP          N_DIFF_CYCLES 
         0  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000  2.411307628373300E-001               0               0
         2  5.000000000000000E-001  2.500000000000000E-001  4.901669596957111E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
         4  1.000000000000000E+000  2.500000000000000E-001  4.901671230891813E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
         6  1.500000000000000E+000  2.500000000000000E-001  4.901672864871307E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
         8  2.000000000000000E+000  2.500000000000000E-001  4.901674498327270E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        10  2.500000000000000E+000  2.500000000000000E-001  4.901676131629917E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        12  3.000000000000000E+000  2.500000000000000E-001  4.901677764780962E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        14  3.500000000000000E+000  2.500000000000000E-001  4.901679397788993E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        16  4.000000000000000E+000  2.500000000000000E-001  4.901681030722748E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        18  4.500000000000000E+000  2.500000000000000E-001  4.901682663863214E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        20  5.000000000000000E+000  2.500000000000000E-001  4.901684297994449E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        22  5.500000000000000E+000  2.500000000000000E-001  4.901685934792607E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        24  6.000000000000000E+000  2.500000000000000E-001  4.901687577220991E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        26  6.500000000000000E+000  2.500000000000000E-001  4.901689229828772E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        28  7.000000000000000E+000  2.500000000000000E-001  4.901690898884578E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        30  7.500000000000000E+000  2.500000000000000E-001  4.901692592325316E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        32  8.000000000000000E+000  2.500000000000000E-001  4.901694319273081E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        34  8.500000000000000E+000  2.500000000000000E-001  4.901696057221669E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        36  9.000000000000000E+000  2.500000000000000E-001  4.901697827291541E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        38  9.500000000000000E+000  2.500000000000000E-001  4.901699634829257E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        40  1.000000000000000E+001  2.500000000000000E-001  4.901701485335330E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        42  1.050000000000000E+001  2.500000000000000E-001  4.901703384387972E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        44  1.100000000000000E+001  2.500000000000000E-001  4.901705337562907E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        46  1.150000000000000E+001  2.500000000000000E-001  4.901707350352827E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        48  1.200000000000000E+001  2.500000000000000E-001  4.901709428087448E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        50  1.250000000000000E+001  2.500000000000000E-001  4.901711575864831E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        52  1.300000000000000E+001  2.500000000000000E-001  4.901713798489121E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        54  1.350000000000000E+001  2.500000000000000E-001  4.901716145685090E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        56  1.400000000000000E+001  2.500000000000000E-001  4.901718616278768E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        58  1.450000000000000E+001  2.500000000000000E-001  4.901721190904531E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        60  1.500000000000000E+001  2.500000000000000E-001  4.901723873046856E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        62  1.550000000000000E+001  2.500000000000000E-001  4.901726665541513E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        64  1.600000000000000E+001  2.500000000000000E-001  4.901729473702527E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        66  1.650000000000000E+001  2.500000000000000E-001  4.901732239317322E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        68  1.700000000000000E+001  2.500000000000000E-001  4.901735086910134E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        70  1.750000000000000E+001  2.500000000000000E-001  4.901738017704405E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        72  1.800000000000000E+001  2.500000000000000E-001  4.901741032663181E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        74  1.850000000000000E+001  2.500000000000000E-001  4.901744164706619E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        76  1.900000000000000E+001  2.500000000000000E-001  4.901747513477290E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        78  1.950000000000000E+001  2.500000000000000E-001  4.901750962631684E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        80  2.000000000000000E+001  2.500000000000000E-001  4.901754511529379E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        82  2.050000000000000E+001  2.500000000000000E-001  4.901758159265633E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        84  2.100000000000000E+001  2.500000000000000E-001  4.901761904698923E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        86  2.150000000000000E+001  2.500000000000000E-001  4.901765746479072E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        88  2.200000000000000E+001  2.500000000000000E-001  4.901769683067569E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        90  2.250000000000000E+001  2.500000000000000E-001  4.901773712753635E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        92  2.300000000000000E+001  2.500000000000000E-001  4.901777833687505E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        94  2.350000000000000E+001  2.500000000000000E-001  4.901782043896645E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        96  2.400000000000000E+001  2.500000000000000E-001  4.901785810430238E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
        98  2.450000000000000E+001  2.500000000000000E-001  4.901789486274213E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
       100  2.500000000000000E+001  2.500000000000000E-001  4.901793217522756E+000  2.500000000000000E-001  2.411307628373300E-001               3               1
