      STEP                   TIME                  DTIME          DTIME_ADV_STB         DTIME_ADV_USED         DTIME_DIFF_STB        N_DIFF_PER_STEP          N_DIFF_CYCLES 
        96  2.400000000000000E+001  2.500000000000000E-001  9.803574477351578E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
        98  2.450000000000000E+001  2.500000000000000E-001  9.803581888493961E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       100  2.500000000000000E+001  2.500000000000000E-001  9.803589410717864E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       102  2.550000000000000E+001  2.500000000000000E-001  9.803597049234369E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       104  2.600000000000000E+001  2.500000000000000E-001  9.803604816826700E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       106  2.650000000000000E+001  2.500000000000000E-001  9.803612708706295E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       108  2.700000000000000E+001  2.500000000000000E-001  9.803620696332102E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       110  2.750000000000000E+001  2.500000000000000E-001  9.803628772335340E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       112  2.800000000000000E+001  2.500000000000000E-001  9.803636942977516E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       114  2.850000000000000E+001  2.500000000000000E-001  9.803645212613784E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       116  2.900000000000000E+001  2.500000000000000E-001  9.803653591394038E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       118  2.950000000000000E+001  2.500000000000000E-001  9.803662591221148E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       120  3.000000000000000E+001  2.500000000000000E-001  9.803671700064426E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       122  3.050000000000000E+001  2.500000000000000E-001  9.803680914611318E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       124  3.100000000000000E+001  2.500000000000000E-001  9.803690230820212E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       126  3.150000000000000E+001  2.500000000000000E-001  9.803699596318797E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       128  3.200000000000000E+001  2.500000000000000E-001  9.803708045767157E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       130  3.250000000000000E+001  2.500000000000000E-001  9.803716554564728E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       132  3.300000000000000E+001  2.500000000000000E-001  9.803725127044180E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       134  3.350000000000000E+001  2.500000000000000E-001  9.803733770177690E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       136  3.400000000000000E+001  2.500000000000000E-001  9.803742486854809E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       138  3.450000000000000E+001  2.500000000000000E-001  9.803751611495485E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       140  3.500000000000000E+001  2.500000000000000E-001  9.803761047075549E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       142  3.550000000000000E+001  2.500000000000000E-001  9.803770558709978E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       144  3.600000000000000E+001  2.500000000000000E-001  9.803780143438441E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       146  3.650000000000000E+001  2.500000000000000E-001  9.803789796760219E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       148  3.700000000000000E+001  2.500000000000000E-001  9.803799513781740E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       150  3.750000000000000E+001  2.500000000000000E-001  9.803809294498578E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       152  3.800000000000000E+001  2.500000000000000E-001  9.803819141079614E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       154  3.850000000000000E+001  2.500000000000000E-001  9.803829053256131E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       156  3.900000000000000E+001  2.500000000000000E-001  9.803839028742830E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       158  3.950000000000000E+001  2.500000000000000E-001  9.803848262563616E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       160  4.000000000000000E+001  2.500000000000000E-001  9.803856609664219E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       162  4.050000000000000E+001  2.500000000000000E-001  9.803865010071064E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       164  4.100000000000000E+001  2.500000000000000E-001  9.803873467871750E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       166  4.150000000000000E+001  2.500000000000000E-001  9.803881996581532E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       168  4.200000000000000E+001  2.500000000000000E-001  9.803890600608602E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       170  4.250000000000000E+001  2.500000000000000E-001  9.803899248065262E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       172  4.300000000000000E+001  2.500000000000000E-001  9.803907922285779E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       174  4.350000000000000E+001  2.500000000000000E-001  9.803916630151658E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       176  4.400000000000000E+001  2.500000000000000E-001  9.803925379020326E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       178  4.450000000000000E+001  2.500000000000000E-001  9.803934171931580E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       180  4.500000000000000E+001  2.500000000000000E-001  9.803943430023665E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       182  4.550000000000000E+001  2.500000000000000E-001  9.803952889847199E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       184  4.600000000000000E+001  2.500000000000000E-001  9.803962391469305E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       186  4.650000000000000E+001  2.500000000000000E-001  9.803971932714919E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       188  4.700000000000000E+001  2.500000000000000E-001  9.803981509733326E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       190  4.750000000000000E+001  2.500000000000000E-001  9.803990297278775E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       192  4.800000000000000E+001  2.500000000000000E-001  9.803998837670706E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       194  4.850000000000000E+001  2.500000000000000E-001  9.804007399862819E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       196  4.900000000000000E+001  2.500000000000000E-001  9.804015992595106E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       198  4.950000000000000E+001  2.500000000000000E-001  9.804024620693255E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       200  5.000000000000000E+001  2.500000000000000E-001  9.804033452526001E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       202  5.050000000000000E+001  2.500000000000000E-001  9.804042720110655E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       204  5.100000000000000E+001  2.500000000000000E-001  9.804052021586065E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       206  5.150000000000000E+001  2.500000000000000E-001  9.804061355335781E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       208  5.200000000000000E+001  2.500000000000000E-001  9.804070718665695E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       210  5.250000000000000E+001  2.500000000000000E-001  9.804080107542582E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       212  5.300000000000000E+001  2.500000000000000E-001  9.804089521532289E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       214  5.350000000000000E+001  2.500000000000000E-001  9.804098963939985E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       216  5.400000000000000E+001  2.500000000000000E-001  9.804108436412555E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       218  5.450000000000000E+001  2.500000000000000E-001  9.804117938220074E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       220  5.500000000000000E+001  2.500000000000000E-001  9.804127197518621E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       222  5.550000000000000E+001  2.500000000000000E-001  9.804135109380503E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       224  5.600000000000000E+001  2.500000000000000E-001  9.804143055716445E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       226  5.650000000000000E+001  2.500000000000000E-001  9.804151038907960E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       228  5.700000000000000E+001  2.500000000000000E-001  9.804159068891446E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       230  5.750000000000000E+001  2.500000000000000E-001  9.804167156868099E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       232  5.800000000000000E+001  2.500000000000000E-001  9.804175280742914E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       234  5.850000000000000E+001  2.500000000000000E-001  9.804183416481310E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       236  5.900000000000000E+001  2.500000000000000E-001  9.804191567067507E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       238  5.950000000000000E+001  2.500000000000000E-001  9.804199740616005E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       240  6.000000000000000E+001  2.500000000000000E-001  9.804207941268832E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       242  6.050000000000000E+001  2.500000000000000E-001  9.804216396418848E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       244  6.100000000000000E+001  2.500000000000000E-001  9.804225180913049E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       246  6.150000000000000E+001  2.500000000000000E-001  9.804233989867539E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       248  6.200000000000000E+001  2.500000000000000E-001  9.804242821953615E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       250  6.250000000000000E+001  2.500000000000000E-001  9.804251674662542E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       252  6.300000000000000E+001  2.500000000000000E-001  9.804260097882043E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       254  6.350000000000000E+001  2.500000000000000E-001  9.804267996075067E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       256  6.400000000000000E+001  2.500000000000000E-001  9.804275904004022E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       258  6.450000000000000E+001  2.500000000000000E-001  9.804283829602985E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       260  6.500000000000000E+001  2.500000000000000E-001  9.804291778639721E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       262  6.550000000000000E+001  2.500000000000000E-001  9.804299753348131E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       264  6.600000000000000E+001  2.500000000000000E-001  9.804308257520907E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       266  6.650000000000000E+001  2.500000000000000E-001  9.804316787807647E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       268  6.700000000000000E+001  2.500000000000000E-001  9.804325339524643E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
